('Stockfish 17.1 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3817', 'saved_engines\\Stockfish 17.1 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64.exe', '1', '2024-03-30T17:18:38Z', 'C++')
('Lizard 10.4 64-bit 8CPU', 'https://github.com/liamt19/Lizard', 'Liam McGuire (USA)', '3731', 'saved_engines\\Lizard 10.4 64-bit 8CPU\\Lizard-10_4-win-v1.exe', '17', '2024-06-03T01:07:16Z', 'C#')
('Obsidian 9.0 64-bit 8CPU', 'https://github.com/gab8192/Obsidian', 'Gabriele Lombardo', '3731', 'saved_engines\\Obsidian 9.0 64-bit 8CPU\\Obsidian90-avx2-bmi2.exe', '17', '2023-12-17T11:30:13Z', 'C++')
('Seer 2.8.0 64-bit 8CPU', 'https://github.com/connormcmonigle/seer-nnue', 'Connor McMonigle (USA)', '3731', 'saved_engines\\Seer 2.8.0 64-bit 8CPU\\seer_v2.8_x64_avx2_popcnt.exe', '18', '2023-12-31T18:08:02Z', 'C++')
('Igel 3.5.0 64-bit 8CPU', 'https://github.com/vshcherbyna/igel', 'Volodymyr Shcherbyna (Ukraine)', '3727', 'saved_engines\\Igel 3.5.0 64-bit 8CPU\\igel-x64_bmi2_avx2_3_5_0.exe', '19', '2023-06-22T19:26:18Z', 'C++')
('Alexandria 6.0.0 64-bit 8CPU', 'https://github.com/PGG106/Alexandria', '', '3724', 'saved_engines\\Alexandria 6.0.0 64-bit 8CPU\\Alexandria-6.0-avx2.exe', '19', '2024-02-01T19:53:13Z', 'C++')
('Velvet 8.0.0 64-bit 8CPU', 'https://github.com/mhonert/velvet-chess', 'Martin Honert (Germany)', '3724', 'saved_engines\\Velvet 8.0.0 64-bit 8CPU\\velvet-v8.0.0-x86_64-avx2.exe', '19', '2024-08-17T09:46:02Z', 'Rust')
('Clover 6.1 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3723', 'saved_engines\\Clover 6.1 64-bit 8CPU\\Clover.6.1-avx2.exe', '19', '2023-12-12T22:41:50Z', 'C++')
('Viridithas 13.0.0 64-bit 8CPU', 'https://github.com/cosmobobak/virtue', 'Cosmo Bobak (Scotland)', '3723', 'saved_engines\\Viridithas 13.0.0 64-bit 8CPU\\viridithas-13.0.0-win-x86_64-v1.exe', '19', '2024-06-26T15:36:51Z', 'Rust')
('Starzix 5.0 64-bit 8CPU', 'https://github.com/zzzzz151/Starzix', '', '3718', 'saved_engines\\Starzix 5.0 64-bit 8CPU\\Starzix-5.0-avx2.exe', '20', '2024-05-23T18:33:23Z', 'C++')
('Koivisto 9.0 64-bit 8CPU', 'https://github.com/Luecx/Koivisto', 'Kim Kahre (Finland) , Finn Eggers (Germany)', '3716', 'saved_engines\\Koivisto 9.0 64-bit 8CPU\\Koivisto_9.0-windows-avx2-pgo.exe', '21', '2023-01-15T22:12:40Z', 'C++')
('Berserk 9 64-bit 8CPU', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3711', 'saved_engines\\Berserk 9 64-bit 8CPU\\berserk-9-x64-avx2-pext.exe', '21', '2022-06-15T00:16:26Z', 'C')
('Alexandria 5.1.0 64-bit 8CPU', 'https://github.com/PGG106/Alexandria', '', '3710', 'saved_engines\\Alexandria 5.1.0 64-bit 8CPU\\Alexandria-5.1.0-avx2.exe', '21', '2023-11-29T16:42:43Z', 'C++')
('Berserk 10 64-bit 8CPU', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3710', 'saved_engines\\Berserk 10 64-bit 8CPU\\berserk-10-x64-avx2-pext.exe', '21', '2022-10-04T18:43:23Z', 'C')
('Clover 6.0 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3708', 'saved_engines\\Clover 6.0 64-bit 8CPU\\Clover.6.0-avx2.exe', '21', '2023-08-11T07:57:13Z', 'C++')
('Seer 2.7.0 64-bit 8CPU', 'https://github.com/connormcmonigle/seer-nnue', 'Connor McMonigle (USA)', '3708', 'saved_engines\\Seer 2.7.0 64-bit 8CPU\\seer_v2.7_x64_avx2_popcnt.exe', '21', '2023-10-26T03:46:37Z', 'C++')
('RubiChess 20230410 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3707', 'saved_engines\\RubiChess 20230410 64-bit 8CPU\\RubiChess-20230410_x86-64-avx2.exe', '21', '2023-04-11T19:30:32Z', 'C')
('Peacekeeper 3.01 64-bit 8CPU', 'https://github.com/Sazgr/peacekeeper', 'Kyle Zhang', '3706', 'saved_engines\\Peacekeeper 3.01 64-bit 8CPU\\peacekeeper-301-avx2.exe', '22', '2024-06-14T17:59:59Z', 'C')
('Velvet 7.3.0 64-bit 8CPU', 'https://github.com/mhonert/velvet-chess', 'Martin Honert (Germany)', '3704', 'saved_engines\\Velvet 7.3.0 64-bit 8CPU\\velvet-v7.3.0-x86_64-avx2.exe', '22', '2024-04-08T20:17:49Z', 'Rust')
('Viridithas 12.0.0 64-bit 8CPU', 'https://github.com/cosmobobak/virtue', 'Cosmo Bobak (Scotland)', '3702', 'saved_engines\\Viridithas 12.0.0 64-bit 8CPU\\viridithas-12.0.0-x86_64-win-v1.exe', '22', '2024-03-01T17:50:33Z', 'Rust')
('Lizard 10.3 64-bit 8CPU', 'https://github.com/liamt19/Lizard', 'Liam McGuire (USA)', '3701', 'saved_engines\\Lizard 10.3 64-bit 8CPU\\Lizard-win-x64-pext.exe', '22', '2024-03-09T17:41:15Z', 'C#')
('PlentyChess 0.3.0 64-bit 8CPU', 'https://github.com/Yoshie2000/PlentyChess', 'Patrick Leonhardt (Germany)', '3701', 'saved_engines\\PlentyChess 0.3.0 64-bit 8CPU\\PlentyChess-0.3.0-avx2.exe', '22', '2024-02-04T22:53:14Z', 'C++')
('Koivisto 8.0 64-bit 8CPU', 'https://github.com/Luecx/Koivisto', 'Kim Kahre (Finland) , Finn Eggers (Germany)', '3699', 'saved_engines\\Koivisto 8.0 64-bit 8CPU\\Koivisto_8.0-x64-windows-avx2.exe', '22', '2022-03-15T14:35:49Z', 'C++')
('Clover 8.0.2 64-bit', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3694', 'saved_engines\\Clover 8.0.2 64-bit\\Clover.8.0-avx2.exe', '23', '2024-09-02T23:34:24Z', 'C++')
('Berserk 11 64-bit', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3691', 'saved_engines\\Berserk 11 64-bit\\berserk-11-x64-avx2-pext.exe', '23', '2023-02-17T20:15:29Z', 'C')
('Clover 5.0 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3691', 'saved_engines\\Clover 5.0 64-bit 8CPU\\Clover.5.0-avx2.exe', '23', '2023-06-24T06:52:44Z', 'C++')
('Berserk 8.5.1 64-bit 8CPU', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3686', 'saved_engines\\Berserk 8.5.1 64-bit 8CPU\\berserk-8.5-x64-avx2-pext.exe', '23', '2021-12-30T16:40:58Z', 'C')
